GroupCode,GroupName,CountryCode,CountryName,
EAP,East Asia & Pacific (excluding high income),MYS,Malaysia,Upper middle income
EAP,East Asia & Pacific (excluding high income),MHL,Marshall Islands,Upper middle income
EAP,East Asia & Pacific (excluding high income),FSM,"Micronesia, Fed. Sts.",Lower middle income
EAP,East Asia & Pacific (excluding high income),MNG,Mongolia,Lower middle income
EAP,East Asia & Pacific (excluding high income),MMR,Myanmar,Lower middle income
EAP,East Asia & Pacific (excluding high income),PLW,Palau,Upper middle income
EAP,East Asia & Pacific (excluding high income),PNG,Papua New Guinea,Lower middle income
EAP,East Asia & Pacific (excluding high income),PHL,Philippines,Lower middle income
EAP,East Asia & Pacific (excluding high income),WSM,Samoa,Lower middle income
EAP,East Asia & Pacific (excluding high income),SLB,Solomon Islands,Lower middle income
EAP,East Asia & Pacific (excluding high income),THA,Thailand,Upper middle income
EAP,East Asia & Pacific (excluding high income),TLS,Timor-Leste,Lower middle income
EAP,East Asia & Pacific (excluding high income),TON,Tonga,Upper middle income
EAP,East Asia & Pacific (excluding high income),TUV,Tuvalu,Upper middle income
EAP,East Asia & Pacific (excluding high income),VUT,Vanuatu,Lower middle income
EAP,East Asia & Pacific (excluding high income),VNM,Vietnam,Lower middle income
EAR,Early-demographic dividend,DZA,Algeria,Lower middle income
EAR,Early-demographic dividend,ARG,Argentina,Upper middle income
EAR,Early-demographic dividend,BHR,Bahrain,High income
EAR,Early-demographic dividend,BGD,Bangladesh,Lower middle income
EAR,Early-demographic dividend,BLZ,Belize,Upper middle income
EAR,Early-demographic dividend,BTN,Bhutan,Lower middle income
EAR,Early-demographic dividend,BOL,Bolivia,Lower middle income
EAR,Early-demographic dividend,BWA,Botswana,Upper middle income
EAR,Early-demographic dividend,CPV,Cabo Verde,Lower middle income
EAR,Early-demographic dividend,KHM,Cambodia,Lower middle income
EAR,Early-demographic dividend,DJI,Djibouti,Lower middle income
EAR,Early-demographic dividend,DOM,Dominican Republic,Upper middle income
EAR,Early-demographic dividend,ECU,Ecuador,Upper middle income
EAR,Early-demographic dividend,EGY,"Egypt, Arab Rep.",Lower middle income
EAR,Early-demographic dividend,SLV,El Salvador,Upper middle income
EAR,Early-demographic dividend,SWZ,Eswatini,Lower middle income
EAR,Early-demographic dividend,ETH,Ethiopia,Low income
EAR,Early-demographic dividend,GAB,Gabon,Upper middle income
EAR,Early-demographic dividend,GHA,Ghana,Lower middle income
EAR,Early-demographic dividend,GRD,Grenada,Upper middle income
EAR,Early-demographic dividend,GTM,Guatemala,Upper middle income
EAR,Early-demographic dividend,HTI,Haiti,Lower middle income
EAR,Early-demographic dividend,HND,Honduras,Lower middle income
EAR,Early-demographic dividend,IND,India,Lower middle income
EAR,Early-demographic dividend,IDN,Indonesia,Upper middle income
EAR,Early-demographic dividend,IRN,"Iran, Islamic Rep.",Lower middle income
EAR,Early-demographic dividend,ISR,Israel,High income
EAR,Early-demographic dividend,JOR,Jordan,Lower middle income
EAR,Early-demographic dividend,KIR,Kiribati,Lower middle income
EAR,Early-demographic dividend,LAO,Lao PDR,Lower middle income
EAR,Early-demographic dividend,LSO,Lesotho,Lower middle income
EAR,Early-demographic dividend,LBY,Libya,Upper middle income
EAR,Early-demographic dividend,MDV,Maldives,Upper middle income
EAR,Early-demographic dividend,MEX,Mexico,Upper middle income
EAR,Early-demographic dividend,FSM,"Micronesia, Fed. Sts.",Lower middle income
EAR,Early-demographic dividend,MMR,Myanmar,Lower middle income
EAR,Early-demographic dividend,NAM,Namibia,Upper middle income
EAR,Early-demographic dividend,NPL,Nepal,Lower middle income
EAR,Early-demographic dividend,NIC,Nicaragua,Lower middle income
EAR,Early-demographic dividend,PAK,Pakistan,Lower middle income
EAR,Early-demographic dividend,PAN,Panama,High income
EAR,Early-demographic dividend,PNG,Papua New Guinea,Lower middle income
EAR,Early-demographic dividend,PRY,Paraguay,Upper middle income
EAR,Early-demographic dividend,PER,Peru,Upper middle income
EAR,Early-demographic dividend,PHL,Philippines,Lower middle income
EAR,Early-demographic dividend,RWA,Rwanda,Low income
EAR,Early-demographic dividend,WSM,Samoa,Lower middle income
EAR,Early-demographic dividend,SAU,Saudi Arabia,High income
EAR,Early-demographic dividend,SLB,Solomon Islands,Lower middle income
EAR,Early-demographic dividend,ZAF,South Africa,Upper middle income
EAR,Early-demographic dividend,SUR,Suriname,Upper middle income
EAR,Early-demographic dividend,SYR,Syrian Arab Republic,Low income
EAR,Early-demographic dividend,TJK,Tajikistan,Lower middle income
EAR,Early-demographic dividend,TON,Tonga,Upper middle income
EAR,Early-demographic dividend,TUR,Türkiye,Upper middle income
EAR,Early-demographic dividend,TKM,Turkmenistan,Upper middle income
EAR,Early-demographic dividend,UZB,Uzbekistan,Lower middle income
EAR,Early-demographic dividend,VUT,Vanuatu,Lower middle income
EAR,Early-demographic dividend,VEN,"Venezuela, RB",0
EAR,Early-demographic dividend,PSE,West Bank and Gaza,Upper middle income
EAR,Early-demographic dividend,YEM,"Yemen, Rep.",Low income
EAR,Early-demographic dividend,ZWE,Zimbabwe,Lower middle income
EAS,East Asia & Pacific,ASM,American Samoa,High income
EAS,East Asia & Pacific,AUS,Australia,High income
EAS,East Asia & Pacific,BRN,Brunei Darussalam,High income
EAS,East Asia & Pacific,KHM,Cambodia,Lower middle income
EAS,East Asia & Pacific,CHN,China,Upper middle income
EAS,East Asia & Pacific,FJI,Fiji,Upper middle income
EAS,East Asia & Pacific,PYF,French Polynesia,High income
EAS,East Asia & Pacific,GUM,Guam,High income
EAS,East Asia & Pacific,HKG,"Hong Kong SAR, China",High income
EAS,East Asia & Pacific,IDN,Indonesia,Upper middle income
EAS,East Asia & Pacific,JPN,Japan,High income
EAS,East Asia & Pacific,KIR,Kiribati,Lower middle income
EAS,East Asia & Pacific,PRK,"Korea, Dem. People's Rep.",Low income
EAS,East Asia & Pacific,KOR,"Korea, Rep.",High income
EAS,East Asia & Pacific,LAO,Lao PDR,Lower middle income
EAS,East Asia & Pacific,MAC,"Macao SAR, China",High income
EAS,East Asia & Pacific,MYS,Malaysia,Upper middle income
EAS,East Asia & Pacific,MHL,Marshall Islands,Upper middle income
EAS,East Asia & Pacific,FSM,"Micronesia, Fed. Sts.",Lower middle income
EAS,East Asia & Pacific,MNG,Mongolia,Lower middle income
EAS,East Asia & Pacific,MMR,Myanmar,Lower middle income
EAS,East Asia & Pacific,NRU,Nauru,High income
EAS,East Asia & Pacific,NCL,New Caledonia,High income
EAS,East Asia & Pacific,NZL,New Zealand,High income
EAS,East Asia & Pacific,MNP,Northern Mariana Islands,High income
EAS,East Asia & Pacific,PLW,Palau,Upper middle income
EAS,East Asia & Pacific,PNG,Papua New Guinea,Lower middle income
EAS,East Asia & Pacific,PHL,Philippines,Lower middle income
EAS,East Asia & Pacific,WSM,Samoa,Lower middle income
EAS,East Asia & Pacific,SGP,Singapore,High income
EAS,East Asia & Pacific,SLB,Solomon Islands,Lower middle income
EAS,East Asia & Pacific,TWN,"Taiwan, China",High income
EAS,East Asia & Pacific,THA,Thailand,Upper middle income
EAS,East Asia & Pacific,TLS,Timor-Leste,Lower middle income
EAS,East Asia & Pacific,TON,Tonga,Upper middle income
EAS,East Asia & Pacific,TUV,Tuvalu,Upper middle income
EAS,East Asia & Pacific,VUT,Vanuatu,Lower middle income
EAS,East Asia & Pacific,VNM,Vietnam,Lower middle income
ECA,Europe & Central Asia (excluding high income),ALB,Albania,Upper middle income
ECA,Europe & Central Asia (excluding high income),ARM,Armenia,Upper middle income
ECA,Europe & Central Asia (excluding high income),AZE,Azerbaijan,Upper middle income
ECA,Europe & Central Asia (excluding high income),BLR,Belarus,Upper middle income
ECA,Europe & Central Asia (excluding high income),BIH,Bosnia and Herzegovina,Upper middle income
ECA,Europe & Central Asia (excluding high income),BGR,Bulgaria,Upper middle income
ECA,Europe & Central Asia (excluding high income),GEO,Georgia,Upper middle income
ECA,Europe & Central Asia (excluding high income),KAZ,Kazakhstan,Upper middle income
ECA,Europe & Central Asia (excluding high income),XKX,Kosovo,Upper middle income
ECA,Europe & Central Asia (excluding high income),KGZ,Kyrgyz Republic,Lower middle income
ECA,Europe & Central Asia (excluding high income),MDA,Moldova,Upper middle income
ECA,Europe & Central Asia (excluding high income),MNE,Montenegro,Upper middle income
ECA,Europe & Central Asia (excluding high income),MKD,North Macedonia,Upper middle income
ECA,Europe & Central Asia (excluding high income),RUS,Russian Federation,Upper middle income
ECA,Europe & Central Asia (excluding high income),SRB,Serbia,Upper middle income
ECA,Europe & Central Asia (excluding high income),TJK,Tajikistan,Lower middle income
ECA,Europe & Central Asia (excluding high income),TUR,Türkiye,Upper middle income
ECA,Europe & Central Asia (excluding high income),TKM,Turkmenistan,Upper middle income
ECA,Europe & Central Asia (excluding high income),UKR,Ukraine,Lower middle income
ECA,Europe & Central Asia (excluding high income),UZB,Uzbekistan,Lower middle income
ECS,Europe & Central Asia,ALB,Albania,Upper middle income
ECS,Europe & Central Asia,AND,Andorra,High income
ECS,Europe & Central Asia,ARM,Armenia,Upper middle income
ECS,Europe & Central Asia,AUT,Austria,High income
ECS,Europe & Central Asia,AZE,Azerbaijan,Upper middle income
ECS,Europe & Central Asia,BLR,Belarus,Upper middle income
ECS,Europe & Central Asia,BEL,Belgium,High income
ECS,Europe & Central Asia,BIH,Bosnia and Herzegovina,Upper middle income
ECS,Europe & Central Asia,BGR,Bulgaria,Upper middle income
ECS,Europe & Central Asia,CHI,Channel Islands,High income
ECS,Europe & Central Asia,HRV,Croatia,High income
ECS,Europe & Central Asia,CYP,Cyprus,High income
ECS,Europe & Central Asia,CZE,Czechia,High income
ECS,Europe & Central Asia,DNK,Denmark,High income
ECS,Europe & Central Asia,EST,Estonia,High income
ECS,Europe & Central Asia,FRO,Faroe Islands,High income
ECS,Europe & Central Asia,FIN,Finland,High income
ECS,Europe & Central Asia,FRA,France,High income
ECS,Europe & Central Asia,GEO,Georgia,Upper middle income
ECS,Europe & Central Asia,DEU,Germany,High income
ECS,Europe & Central Asia,GIB,Gibraltar,High income
ECS,Europe & Central Asia,GRC,Greece,High income
ECS,Europe & Central Asia,GRL,Greenland,High income
ECS,Europe & Central Asia,HUN,Hungary,High income
ECS,Europe & Central Asia,ISL,Iceland,High income
ECS,Europe & Central Asia,IRL,Ireland,High income
ECS,Europe & Central Asia,IMN,Isle of Man,High income
ECS,Europe & Central Asia,ITA,Italy,High income
ECS,Europe & Central Asia,KAZ,Kazakhstan,Upper middle income
ECS,Europe & Central Asia,XKX,Kosovo,Upper middle income
ECS,Europe & Central Asia,KGZ,Kyrgyz Republic,Lower middle income
ECS,Europe & Central Asia,LVA,Latvia,High income
ECS,Europe & Central Asia,LIE,Liechtenstein,High income
ECS,Europe & Central Asia,LTU,Lithuania,High income
ECS,Europe & Central Asia,LUX,Luxembourg,High income
ECS,Europe & Central Asia,MDA,Moldova,Upper middle income
ECS,Europe & Central Asia,MCO,Monaco,High income
ECS,Europe & Central Asia,MNE,Montenegro,Upper middle income
ECS,Europe & Central Asia,NLD,Netherlands,High income
ECS,Europe & Central Asia,MKD,North Macedonia,Upper middle income
ECS,Europe & Central Asia,NOR,Norway,High income
ECS,Europe & Central Asia,POL,Poland,High income
ECS,Europe & Central Asia,PRT,Portugal,High income
ECS,Europe & Central Asia,ROU,Romania,High income
ECS,Europe & Central Asia,RUS,Russian Federation,Upper middle income
ECS,Europe & Central Asia,SMR,San Marino,High income
ECS,Europe & Central Asia,SRB,Serbia,Upper middle income
ECS,Europe & Central Asia,SVK,Slovak Republic,High income
ECS,Europe & Central Asia,SVN,Slovenia,High income
ECS,Europe & Central Asia,ESP,Spain,High income
ECS,Europe & Central Asia,SWE,Sweden,High income
ECS,Europe & Central Asia,CHE,Switzerland,High income
ECS,Europe & Central Asia,TJK,Tajikistan,Lower middle income
ECS,Europe & Central Asia,TUR,Türkiye,Upper middle income
ECS,Europe & Central Asia,TKM,Turkmenistan,Upper middle income
ECS,Europe & Central Asia,UKR,Ukraine,Lower middle income
ECS,Europe & Central Asia,GBR,United Kingdom,High income
ECS,Europe & Central Asia,UZB,Uzbekistan,Lower middle income
EMU,Euro area,AUT,Austria,High income
EMU,Euro area,BEL,Belgium,High income
EMU,Euro area,CYP,Cyprus,High income
EMU,Euro area,EST,Estonia,High income
EMU,Euro area,FIN,Finland,High income
EMU,Euro area,FRA,France,High income
EMU,Euro area,DEU,Germany,High income
EMU,Euro area,GRC,Greece,High income
EMU,Euro area,IRL,Ireland,High income
EMU,Euro area,ITA,Italy,High income
EMU,Euro area,LVA,Latvia,High income
EMU,Euro area,LTU,Lithuania,High income
EMU,Euro area,LUX,Luxembourg,High income
EMU,Euro area,MLT,Malta,High income
EMU,Euro area,NLD,Netherlands,High income
EMU,Euro area,PRT,Portugal,High income
EMU,Euro area,SVK,Slovak Republic,High income
EMU,Euro area,SVN,Slovenia,High income
EMU,Euro area,ESP,Spain,High income
EUU,European Union,AUT,Austria,High income
EUU,European Union,BEL,Belgium,High income
EUU,European Union,BGR,Bulgaria,Upper middle income
EUU,European Union,HRV,Croatia,High income
EUU,European Union,CYP,Cyprus,High income
EUU,European Union,CZE,Czechia,High income
EUU,European Union,DNK,Denmark,High income
EUU,European Union,EST,Estonia,High income
EUU,European Union,FIN,Finland,High income
EUU,European Union,FRA,France,High income
EUU,European Union,DEU,Germany,High income
EUU,European Union,GRC,Greece,High income
EUU,European Union,HUN,Hungary,High income
EUU,European Union,IRL,Ireland,High income
EUU,European Union,ITA,Italy,High income
EUU,European Union,LVA,Latvia,High income
EUU,European Union,LTU,Lithuania,High income
EUU,European Union,LUX,Luxembourg,High income
EUU,European Union,MLT,Malta,High income
EUU,European Union,NLD,Netherlands,High income
EUU,European Union,POL,Poland,High income
EUU,European Union,PRT,Portugal,High income
EUU,European Union,ROU,Romania,High income
EUU,European Union,SVK,Slovak Republic,High income
EUU,European Union,SVN,Slovenia,High income
EUU,European Union,ESP,Spain,High income
EUU,European Union,SWE,Sweden,High income
FCS,Fragile and conflict affected situations,AFG,Afghanistan,Low income
FCS,Fragile and conflict affected situations,BFA,Burkina Faso,Low income
FCS,Fragile and conflict affected situations,BDI,Burundi,Low income
FCS,Fragile and conflict affected situations,CMR,Cameroon,Lower middle income
FCS,Fragile and conflict affected situations,CAF,Central African Republic,Low income
FCS,Fragile and conflict affected situations,TCD,Chad,Low income
FCS,Fragile and conflict affected situations,COM,Comoros,Lower middle income
FCS,Fragile and conflict affected situations,COD,"Congo, Dem. Rep.",Low income
FCS,Fragile and conflict affected situations,COG,"Congo, Rep.",Lower middle income
FCS,Fragile and conflict affected situations,ERI,Eritrea,Low income
FCS,Fragile and conflict affected situations,ETH,Ethiopia,Low income
FCS,Fragile and conflict affected situations,GNB,Guinea-Bissau,Low income
FCS,Fragile and conflict affected situations,HTI,Haiti,Lower middle income
FCS,Fragile and conflict affected situations,IRQ,Iraq,Upper middle income
FCS,Fragile and conflict affected situations,KIR,Kiribati,Lower middle income
FCS,Fragile and conflict affected situations,XKX,Kosovo,Upper middle income
FCS,Fragile and conflict affected situations,LBN,Lebanon,Lower middle income
FCS,Fragile and conflict affected situations,LBY,Libya,Upper middle income
FCS,Fragile and conflict affected situations,MLI,Mali,Low income
FCS,Fragile and conflict affected situations,MHL,Marshall Islands,Upper middle income
FCS,Fragile and conflict affected situations,FSM,"Micronesia, Fed. Sts.",Lower middle income
FCS,Fragile and conflict affected situations,MOZ,Mozambique,Low income
FCS,Fragile and conflict affected situations,MMR,Myanmar,Lower middle income
FCS,Fragile and conflict affected situations,NER,Niger,Low income
FCS,Fragile and conflict affected situations,NGA,Nigeria,Lower middle income
FCS,Fragile and conflict affected situations,PNG,Papua New Guinea,Lower middle income
FCS,Fragile and conflict affected situations,STP,São Tomé and Príncipe,Lower middle income
FCS,Fragile and conflict affected situations,SLB,Solomon Islands,Lower middle income
FCS,Fragile and conflict affected situations,SOM,Somalia,Low income
FCS,Fragile and conflict affected situations,SSD,South Sudan,Low income
FCS,Fragile and conflict affected situations,SDN,Sudan,Low income
FCS,Fragile and conflict affected situations,SYR,Syrian Arab Republic,Low income
FCS,Fragile and conflict affected situations,TLS,Timor-Leste,Lower middle income
FCS,Fragile and conflict affected situations,TUV,Tuvalu,Upper middle income
FCS,Fragile and conflict affected situations,UKR,Ukraine,Lower middle income
FCS,Fragile and conflict affected situations,VEN,"Venezuela, RB",0
FCS,Fragile and conflict affected situations,PSE,West Bank and Gaza,Upper middle income
FCS,Fragile and conflict affected situations,YEM,"Yemen, Rep.",Low income
FCS,Fragile and conflict affected situations,ZWE,Zimbabwe,Lower middle income
HIC,High income,ASM,American Samoa,High income
HIC,High income,AND,Andorra,High income
HIC,High income,ATG,Antigua and Barbuda,High income
HIC,High income,ABW,Aruba,High income
HIC,High income,AUS,Australia,High income
HIC,High income,AUT,Austria,High income
HIC,High income,BHS,"Bahamas, The",High income
HIC,High income,BHR,Bahrain,High income
HIC,High income,BRB,Barbados,High income
HIC,High income,BEL,Belgium,High income
HIC,High income,BMU,Bermuda,High income
HIC,High income,VGB,British Virgin Islands,High income
HIC,High income,BRN,Brunei Darussalam,High income
HIC,High income,CAN,Canada,High income
HIC,High income,CYM,Cayman Islands,High income
HIC,High income,CHI,Channel Islands,High income
HIC,High income,CHL,Chile,High income
HIC,High income,HRV,Croatia,High income
HIC,High income,CUW,Curaçao,High income
HIC,High income,CYP,Cyprus,High income
HIC,High income,CZE,Czechia,High income
HIC,High income,DNK,Denmark,High income
HIC,High income,EST,Estonia,High income
HIC,High income,FRO,Faroe Islands,High income
HIC,High income,FIN,Finland,High income
HIC,High income,FRA,France,High income
HIC,High income,PYF,French Polynesia,High income
HIC,High income,DEU,Germany,High income
HIC,High income,GIB,Gibraltar,High income
HIC,High income,GRC,Greece,High income
HIC,High income,GRL,Greenland,High income
HIC,High income,GUM,Guam,High income
HIC,High income,GUY,Guyana,High income
HIC,High income,HKG,"Hong Kong SAR, China",High income
HIC,High income,HUN,Hungary,High income
HIC,High income,ISL,Iceland,High income
HIC,High income,IRL,Ireland,High income
HIC,High income,IMN,Isle of Man,High income
HIC,High income,ISR,Israel,High income
HIC,High income,ITA,Italy,High income
HIC,High income,JPN,Japan,High income
HIC,High income,KOR,"Korea, Rep.",High income
HIC,High income,KWT,Kuwait,High income
HIC,High income,LVA,Latvia,High income
HIC,High income,LIE,Liechtenstein,High income
HIC,High income,LTU,Lithuania,High income
HIC,High income,LUX,Luxembourg,High income
HIC,High income,MAC,"Macao SAR, China",High income
HIC,High income,MLT,Malta,High income
HIC,High income,MCO,Monaco,High income
HIC,High income,NRU,Nauru,High income
HIC,High income,NLD,Netherlands,High income
HIC,High income,NCL,New Caledonia,High income
HIC,High income,NZL,New Zealand,High income
HIC,High income,MNP,Northern Mariana Islands,High income
HIC,High income,NOR,Norway,High income
HIC,High income,OMN,Oman,High income
HIC,High income,PAN,Panama,High income
HIC,High income,POL,Poland,High income
HIC,High income,PRT,Portugal,High income
HIC,High income,PRI,Puerto Rico,High income
HIC,High income,QAT,Qatar,High income
HIC,High income,ROU,Romania,High income
HIC,High income,SMR,San Marino,High income
HIC,High income,SAU,Saudi Arabia,High income
HIC,High income,SYC,Seychelles,High income
HIC,High income,SGP,Singapore,High income
HIC,High income,SXM,Sint Maarten (Dutch part),High income
HIC,High income,SVK,Slovak Republic,High income
HIC,High income,SVN,Slovenia,High income
HIC,High income,ESP,Spain,High income
HIC,High income,KNA,St. Kitts and Nevis,High income
HIC,High income,MAF,St. Martin (French part),High income
HIC,High income,SWE,Sweden,High income
HIC,High income,CHE,Switzerland,High income
HIC,High income,TWN,"Taiwan, China",High income
HIC,High income,TTO,Trinidad and Tobago,High income
HIC,High income,TCA,Turks and Caicos Islands,High income
HIC,High income,ARE,United Arab Emirates,High income
HIC,High income,GBR,United Kingdom,High income
HIC,High income,USA,United States,High income
HIC,High income,URY,Uruguay,High income
HIC,High income,VIR,Virgin Islands (U.S.),High income
HPC,Heavily indebted poor countries (HIPC),AFG,Afghanistan,Low income
HPC,Heavily indebted poor countries (HIPC),BEN,Benin,Lower middle income
HPC,Heavily indebted poor countries (HIPC),BOL,Bolivia,Lower middle income
HPC,Heavily indebted poor countries (HIPC),BFA,Burkina Faso,Low income
HPC,Heavily indebted poor countries (HIPC),BDI,Burundi,Low income
HPC,Heavily indebted poor countries (HIPC),CMR,Cameroon,Lower middle income
HPC,Heavily indebted poor countries (HIPC),CAF,Central African Republic,Low income
HPC,Heavily indebted poor countries (HIPC),TCD,Chad,Low income
HPC,Heavily indebted poor countries (HIPC),COM,Comoros,Lower middle income
HPC,Heavily indebted poor countries (HIPC),COD,"Congo, Dem. Rep.",Low income
HPC,Heavily indebted poor countries (HIPC),COG,"Congo, Rep.",Lower middle income
HPC,Heavily indebted poor countries (HIPC),CIV,Côte d’Ivoire,Lower middle income
HPC,Heavily indebted poor countries (HIPC),ERI,Eritrea,Low income
HPC,Heavily indebted poor countries (HIPC),ETH,Ethiopia,Low income
HPC,Heavily indebted poor countries (HIPC),GMB,"Gambia, The",Low income
HPC,Heavily indebted poor countries (HIPC),GHA,Ghana,Lower middle income
HPC,Heavily indebted poor countries (HIPC),GIN,Guinea,Lower middle income
HPC,Heavily indebted poor countries (HIPC),GNB,Guinea-Bissau,Low income
HPC,Heavily indebted poor countries (HIPC),GUY,Guyana,High income
HPC,Heavily indebted poor countries (HIPC),HTI,Haiti,Lower middle income
HPC,Heavily indebted poor countries (HIPC),HND,Honduras,Lower middle income
HPC,Heavily indebted poor countries (HIPC),LBR,Liberia,Low income
HPC,Heavily indebted poor countries (HIPC),MDG,Madagascar,Low income
HPC,Heavily indebted poor countries (HIPC),MWI,Malawi,Low income
HPC,Heavily indebted poor countries (HIPC),MLI,Mali,Low income
HPC,Heavily indebted poor countries (HIPC),MRT,Mauritania,Lower middle income
HPC,Heavily indebted poor countries (HIPC),MOZ,Mozambique,Low income
HPC,Heavily indebted poor countries (HIPC),NIC,Nicaragua,Lower middle income
HPC,Heavily indebted poor countries (HIPC),NER,Niger,Low income
HPC,Heavily indebted poor countries (HIPC),RWA,Rwanda,Low income
HPC,Heavily indebted poor countries (HIPC),STP,São Tomé and Príncipe,Lower middle income
HPC,Heavily indebted poor countries (HIPC),SEN,Senegal,Lower middle income
